,Age,Sex,number_of_foo
0,64,Female,14
1,67,Female,14
2,20,Female,12
4,23,Female,15
5,59,Female,17
8,41,Female,1
13,44,Female,16
14,32,Female,10
17,59,Female,16
19,66,Female,7
20,44,Female,16
21,37,Female,2
22,57,Female,13
26,29,Female,4
28,36,Female,13
29,25,Female,7
30,35,Female,4
32,20,Female,12
35,44,Female,9
37,49,Female,12
38,39,Female,6
41,59,Female,3
43,21,Female,4
45,52,Female,8
47,30,Female,10
49,55,Female,4
53,20,Female,4
55,56,Female,11
57,58,Female,8
63,62,Female,2
66,21,Female,5
70,58,Female,6
73,38,Female,2
75,20,Female,17
78,32,Female,5
79,62,Female,17
83,26,Female,19
84,24,Female,18
90,34,Female,6
92,40,Female,13
96,33,Female,8
97,41,Female,12
98,68,Female,18
